hidden_layer_sizes,alpha,batch_size,learning_rate_init,max_iter,beta_1,beta_2,epsilon,n_iter_no_change,explained_variance_max,max_error
6.0,0.05,256.0,1.0,200.0,0.9,0.993,0.0001,5.0,1.1102230246251566e-17,0.584704190334698
12.0,0.05,32.0,0.1,100.0,0.99,0.996,0.1,20.0,1.1150159523465321e-07,0.5854582300017133
6.0,0.05,32.0,1.0,300.0,0.93,0.9990000000000001,0.1,5.0,7.771561172376094e-17,0.6546797280020097
3.0,0.005,128.0,1.0,50.0,0.96,0.993,0.01,20.0,5.551115123125783e-17,0.5630491552588646
30.0,0.01,256.0,0.1,100.0,0.96,0.993,0.0001,10.0,1.64003943758928e-10,0.6027321032243905
3.0,0.05,64.0,0.01,50.0,0.9,0.99,0.0001,20.0,5.551115123125783e-17,0.6028194980125866
27.0,0.05,512.0,1.0,500.0,0.93,0.996,0.1,5.0,9.650866217292278e-10,0.5960116863925031
15.0,0.0001,32.0,0.1,200.0,0.99,0.996,1e-06,20.0,4.440892098500625e-17,0.6096746181723024
21.0,0.0001,1024.0,0.1,200.0,0.96,0.993,0.1,20.0,6.0547866646398764e-05,0.6044143367781663
3.0,0.05,64.0,0.001,500.0,0.9,0.993,1e-08,5.0,0.14305762416792142,0.7249538177854137
27.0,0.0005,64.0,0.01,300.0,0.93,0.99,0.1,20.0,0.08949481196602471,0.6837211334219038
12.0,0.05,1024.0,0.01,100.0,0.99,0.993,1e-08,10.0,0.12309877711175325,0.9423230984261052
3.0,0.01,64.0,0.1,200.0,0.99,0.996,0.1,5.0,1.3322676295501878e-16,0.6018175660786109
12.0,0.001,1024.0,1.0,100.0,0.9,0.996,0.0001,10.0,2.2204460492503126e-17,0.6047007649135198
18.0,0.005,1024.0,0.1,300.0,0.96,0.99,0.0001,10.0,1.5158130315717776e-06,0.5729404250022955
24.0,0.005,32.0,1.0,50.0,0.9,0.996,0.1,20.0,6.661338147750939e-17,0.607338163298744
6.0,0.01,256.0,1.0,50.0,0.9,0.993,1e-08,20.0,1.1102230246251566e-17,0.5676090908632759
3.0,0.0005,128.0,0.01,500.0,0.9,0.99,0.01,20.0,7.771561172376094e-17,0.6070505142954711
30.0,0.0005,32.0,1.0,50.0,0.93,0.996,0.0001,20.0,0.0,0.6911637394271091
27.0,0.001,64.0,0.1,200.0,0.9,0.993,0.1,5.0,0.0005836031688325582,0.6058746830155038
3.0,0.0005,128.0,0.001,50.0,0.99,0.993,0.0001,20.0,4.440892098500625e-17,0.6050633823576512
18.0,0.05,128.0,1.0,300.0,0.93,0.9990000000000001,1e-06,10.0,4.440892098500625e-17,0.5848556199396252
30.0,0.005,64.0,1.0,50.0,0.96,0.996,0.01,10.0,5.551115123125783e-17,0.5949829335744019
12.0,0.01,128.0,0.1,300.0,0.9,0.99,0.0001,20.0,3.330669073875469e-17,0.6001199934260172
3.0,0.01,1024.0,0.01,100.0,0.96,0.993,1e-08,5.0,0.3448556758836272,0.7628435057367993
18.0,0.005,256.0,1.0,50.0,0.93,0.996,0.1,20.0,0.0001190200827710708,0.6114815055719094
3.0,0.01,64.0,0.01,200.0,0.99,0.993,0.1,20.0,3.330669073875469e-17,0.6053832029024552
6.0,0.01,64.0,0.1,50.0,0.93,0.9990000000000001,0.01,10.0,0.05733275026736553,0.9234493684230988
21.0,0.001,1024.0,1.0,300.0,0.9,0.9990000000000001,0.01,20.0,2.3315707557836075e-05,0.6026714267992407
6.0,0.01,128.0,0.1,50.0,0.9,0.99,0.1,5.0,0.0006761995983247781,0.6306083430828644
3.0,0.0005,128.0,0.1,200.0,0.9,0.993,0.01,5.0,6.661338147750939e-17,0.6145426441225394
21.0,0.01,256.0,0.1,300.0,0.99,0.99,1e-06,5.0,2.2204460492503126e-17,0.5918698201458892
18.0,0.0001,64.0,1.0,100.0,0.96,0.9990000000000001,0.1,5.0,0.00038996473772102687,0.6030246453220174
27.0,0.05,64.0,0.1,50.0,0.99,0.99,0.01,5.0,0.00024041929548238584,0.6283578902824557
18.0,0.05,64.0,0.01,500.0,0.9,0.99,0.01,20.0,0.03606925356156127,0.7862522851335548
30.0,0.01,256.0,0.1,100.0,0.9,0.99,0.0001,10.0,0.00018505802645473192,0.6056976581812518
24.0,0.05,256.0,0.1,300.0,0.93,0.993,1e-08,20.0,0.0006511670821493733,0.6533565073274274
24.0,0.005,1024.0,0.1,200.0,0.93,0.993,0.1,20.0,0.014424240162444113,0.7561768137796051
15.0,0.01,256.0,0.1,500.0,0.96,0.993,1e-06,10.0,4.440892098500625e-17,0.6206543387185594
9.0,0.01,32.0,0.1,100.0,0.93,0.99,0.0001,5.0,2.2204460492503126e-17,0.6076810355912572
27.0,0.05,1024.0,0.1,200.0,0.96,0.993,0.0001,20.0,4.440892098500625e-17,0.5912785093092975
3.0,0.001,64.0,0.1,50.0,0.96,0.996,1e-06,20.0,1.1102230246251566e-17,0.6125728069535405
30.0,0.0005,32.0,0.01,50.0,0.99,0.9990000000000001,1e-08,10.0,0.2363489921270639,0.7061593688664113
24.0,0.0001,32.0,0.1,100.0,0.93,0.9990000000000001,1e-08,10.0,0.002052757531821614,0.6217886253466193
9.0,0.005,128.0,1.0,200.0,0.9,0.993,0.1,10.0,1.1102230246251566e-17,0.5812888232439839
9.0,0.001,64.0,0.1,300.0,0.9,0.996,0.0001,5.0,1.1102230246251566e-17,0.6022314517356465
3.0,0.001,256.0,0.1,200.0,0.93,0.9990000000000001,0.1,5.0,3.330669073875469e-17,0.5988417065439396
24.0,0.01,512.0,0.1,200.0,0.99,0.99,1e-08,20.0,3.330669073875469e-17,0.5648792463413264
3.0,0.05,1024.0,0.01,500.0,0.99,0.996,0.01,5.0,0.0,0.6765714930390713
3.0,0.05,64.0,1.0,500.0,0.93,0.9990000000000001,0.01,20.0,2.2204460492503126e-17,0.6093022572417025
3.0,0.0001,64.0,0.01,200.0,0.99,0.9990000000000001,0.0001,5.0,3.330669073875469e-17,0.6101720589918515
27.0,0.01,32.0,0.01,500.0,0.99,0.996,0.0001,10.0,0.005319110103452361,0.6101556053830623
27.0,0.001,32.0,0.01,500.0,0.9,0.993,0.0001,10.0,3.153494132490664e-11,0.6015951581366457
3.0,0.005,32.0,0.001,50.0,0.99,0.996,1e-06,20.0,0.15040417014357702,0.6547827448013899
18.0,0.05,32.0,0.1,300.0,0.93,0.993,0.1,20.0,1.5312725182514696e-06,0.5994303822262398
3.0,0.0001,1024.0,0.01,500.0,0.99,0.993,0.1,20.0,8.881784197001253e-17,0.5559041798339839
15.0,0.0001,128.0,1.0,200.0,0.99,0.99,1e-08,20.0,2.2204460492503126e-17,0.7176631635812392
24.0,0.001,32.0,0.01,500.0,0.93,0.99,1e-08,10.0,1.1102230246251566e-17,0.6041638088577036
24.0,0.01,128.0,0.1,300.0,0.96,0.996,1e-08,10.0,3.330669073875469e-17,0.6097070939298128
15.0,0.0005,32.0,1.0,50.0,0.96,0.993,1e-06,20.0,1.1102230246251566e-17,0.6731818652031621
24.0,0.001,32.0,0.01,50.0,0.93,0.996,0.0001,10.0,2.352912309433464e-11,0.6081390864432097
30.0,0.001,32.0,0.01,200.0,0.99,0.996,1e-06,5.0,0.06480663061124682,0.6272924151012954
27.0,0.005,32.0,0.01,500.0,0.9,0.99,1e-08,5.0,1.3971926868028285e-06,0.5880726432874602
18.0,0.01,512.0,0.1,100.0,0.96,0.9990000000000001,0.01,5.0,0.0003266569178255852,0.5898172274201492
12.0,0.001,128.0,1.0,200.0,0.96,0.996,1e-06,5.0,3.330669073875469e-17,0.6415838780620822
27.0,0.0005,512.0,1.0,300.0,0.9,0.996,0.01,20.0,5.551115123125783e-17,0.6043540695899142
3.0,0.01,32.0,0.01,300.0,0.93,0.993,1e-08,10.0,5.551115123125783e-17,0.5906881159337651
9.0,0.001,32.0,1.0,100.0,0.96,0.9990000000000001,1e-06,20.0,3.330669073875469e-17,0.5719737590284474
3.0,0.01,128.0,1.0,100.0,0.9,0.9990000000000001,0.0001,5.0,4.440892098500625e-17,0.6036704288764309
18.0,0.05,512.0,1.0,100.0,0.93,0.99,0.1,5.0,3.330669073875469e-17,0.5969828350102209
