binned_x1,binned_x2,binned_x3,f1,f2
"(-4.004, -2.397]","(2.4, 4.0]","(-0.8, 0.799]",0.9999999991923716,0.9999999913832042
"(-0.798, 0.801]","(-0.8, 0.8]","(0.799, 2.398]",0.8914877774513928,0.9956741788941548
"(-2.397, -0.798]","(0.8, 2.4]","(0.799, 2.398]",0.9972754204073132,0.9999564765887686
"(-0.798, 0.801]","(2.4, 4.0]","(2.398, 3.998]",0.9999997697176978,0.9999999999999069
"(-2.397, -0.798]","(-2.399, -0.8]","(-0.8, 0.799]",0.9999880903951424,0.927639457537684
"(-4.004, -2.397]","(-2.399, -0.8]","(0.799, 2.398]",0.9999999212113128,0.9998838016602948
"(-2.397, -0.798]","(-0.8, 0.8]","(-2.4, -0.8]",0.9999360089954908,0.8891636585836253
"(-4.004, -2.397]","(-0.8, 0.8]","(2.398, 3.998]",0.9999999999632708,0.9999999999857812
"(-4.004, -2.397]","(-2.399, -0.8]","(-0.8, 0.799]",0.9999998448539028,0.9958128474047004
"(-4.004, -2.397]","(0.8, 2.4]","(2.398, 3.998]",0.999999999313854,0.9999999998201022
"(2.401, 4.0]","(-0.8, 0.8]","(-4.007, -2.4]",0.9999999999993444,0.9999999999931416
"(-4.004, -2.397]","(-2.399, -0.8]","(-4.007, -2.4]",1.0,0.9999999977230358
"(-0.798, 0.801]","(-2.399, -0.8]","(0.799, 2.398]",0.9993395678742456,0.9965406747418096
"(0.801, 2.401]","(-4.007, -2.399]","(0.799, 2.398]",0.9999988890600942,0.99999948267325
"(-0.798, 0.801]","(0.8, 2.4]","(0.799, 2.398]",0.9802189795443452,0.9999569917855816
"(-0.798, 0.801]","(-0.8, 0.8]","(2.398, 3.998]",0.9999879027617063,0.9999999945739038
"(-4.004, -2.397]","(-0.8, 0.8]","(-0.8, 0.799]",0.9999907892731714,0.9978723086638196
"(-0.798, 0.801]","(0.8, 2.4]","(-4.007, -2.4]",0.999999869558256,0.9999786654186228
"(2.401, 4.0]","(0.8, 2.4]","(-2.4, -0.8]",0.9999698002391388,0.9999999142959668
"(-4.004, -2.397]","(2.4, 4.0]","(-2.4, -0.8]",0.9999999999588716,0.9999999999074276
"(2.401, 4.0]","(0.8, 2.4]","(2.398, 3.998]",0.9999999850138346,1.0
"(-4.004, -2.397]","(2.4, 4.0]","(0.799, 2.398]",0.999999999999382,0.9999999999999925
"(-0.798, 0.801]","(-0.8, 0.8]","(-2.4, -0.8]",0.9999046073838688,0.9644475474380491
"(-2.397, -0.798]","(-4.007, -2.399]","(-4.007, -2.4]",1.0,0.9999999730542224
"(-0.798, 0.801]","(-0.8, 0.8]","(-0.8, 0.799]",0.08911155431847473,0.9514351402112724
"(-2.397, -0.798]","(-4.007, -2.399]","(2.398, 3.998]",0.9999999970409,0.9999998883405892
"(0.801, 2.401]","(-0.8, 0.8]","(-4.007, -2.4]",0.9999999995185344,0.9999988452219412
"(-2.397, -0.798]","(0.8, 2.4]","(-0.8, 0.799]",0.9448293809099017,0.9452060683858516
"(-0.798, 0.801]","(-0.8, 0.8]","(0.799, 2.398]",0.6088985421967785,0.9986493786559136
"(0.801, 2.401]","(-4.007, -2.399]","(-4.007, -2.4]",0.9999999999988868,0.9999997986958412
"(-4.004, -2.397]","(-4.007, -2.399]","(0.799, 2.398]",1.0,0.9999999999935066
"(2.401, 4.0]","(-2.399, -0.8]","(-0.8, 0.799]",0.99999990478761,0.9999999997619295
"(-0.798, 0.801]","(0.8, 2.4]","(-0.8, 0.799]",0.9496140855137633,0.9998007376614596
"(0.801, 2.401]","(0.8, 2.4]","(-4.007, -2.4]",0.9999981347782032,0.99999937485318
"(2.401, 4.0]","(-0.8, 0.8]","(-2.4, -0.8]",0.999999956106707,0.9999999876510199
"(-4.004, -2.397]","(-4.007, -2.399]","(0.799, 2.398]",1.0,0.9999999999967896
"(-2.397, -0.798]","(-2.399, -0.8]","(-4.007, -2.4]",0.9999999999993744,0.9999974893856668
"(-0.798, 0.801]","(2.4, 4.0]","(2.398, 3.998]",0.9999995209417666,0.9999999999996269
"(-4.004, -2.397]","(-0.8, 0.8]","(-0.8, 0.799]",0.9999965007175972,0.9921417426201432
"(-4.004, -2.397]","(-2.399, -0.8]","(0.799, 2.398]",0.9999999993256448,0.9999998355427115
"(-0.798, 0.801]","(-4.007, -2.399]","(2.398, 3.998]",0.9999999999939612,0.9999999993769436
"(-4.004, -2.397]","(-2.399, -0.8]","(0.799, 2.398]",0.999999999075358,0.9999979348137724
"(-2.397, -0.798]","(-4.007, -2.399]","(2.398, 3.998]",0.999999999989724,0.9999999997022752
