binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(18.142, 20.44]","(23975.204, 25308.238]","(7.036, 8.168]","(30.945, 32.55]","(19972.327, 20981.91]","(28.873, 29.99]","(34.864, 36.24]","(27436.739, 28475.28]","(2.898, 4.921]",23694.0,4844.0
"(2.327, 4.058]","(17198.684, 18069.604]","(5.068, 7.036]","(17.672, 19.56]","(24705.013, 25267.247]","(21.309, 22.843]","(36.24, 38.258]","(28475.28, 29884.81]","(27.209, 29.083]",21877.0,4001.0
"(22.66, 24.014]","(21495.298, 22544.526]","(10.922, 12.32]","(0.139, 1.728]","(21509.223, 22466.49]","(9.34, 10.72]","(26.258, 29.128]","(23524.053, 25022.682]","(24.282, 25.735]",6798.0,1656.0
"(15.263, 16.26]","(20333.54, 21495.298]","(5.068, 7.036]","(29.325, 30.945]","(24705.013, 25267.247]","(3.568, 4.822]","(19.94, 21.996]","(21919.814, 22499.006]","(4.921, 6.5]",25121.0,5627.0
"(34.389, 36.458]","(23975.204, 25308.238]","(8.168, 9.531]","(6.211, 7.396]","(22466.49, 23691.488]","(0.847, 2.081]","(8.736, 10.853]","(18066.412, 19186.778]","(13.806, 15.67]",23086.0,5152.0
"(0.169, 2.327]","(11034.201, 11974.945]","(24.714, 25.448]","(23.494, 24.99]","(10112.759, 11038.402]","(15.135, 16.921]","(15.385, 16.724]","(15851.919, 16991.383]","(20.842, 22.373]",1843.0,310.0
"(9.756, 11.512]","(18069.604, 19205.184]","(24.714, 25.448]","(29.325, 30.945]","(23691.488, 24705.013]","(27.817, 28.873]","(21.996, 24.384]","(25022.682, 26000.772]","(6.5, 8.05]",20303.0,3693.0
"(38.353, 39.92]","(10042.609, 11034.201]","(1.64, 2.819]","(17.672, 19.56]","(13002.937, 14434.652]","(22.843, 24.328]","(6.303, 8.736]","(12651.296, 13873.478]","(2.898, 4.921]",7494.0,1410.0
"(34.389, 36.458]","(28245.716, 28943.995]","(1.64, 2.819]","(23.494, 24.99]","(10112.759, 11038.402]","(28.873, 29.99]","(4.359, 6.303]","(26517.227, 27436.739]","(16.83, 18.14]",3214.0,643.0
"(11.512, 13.292]","(15386.752, 16071.688]","(18.838, 20.4]","(11.317, 14.842]","(28027.804, 28704.074]","(28.873, 29.99]","(16.724, 18.602]","(28475.28, 29884.81]","(18.14, 19.794]",0.0,3.0
"(18.142, 20.44]","(16071.688, 17198.684]","(18.838, 20.4]","(0.139, 1.728]","(28704.074, 29905.06]","(25.25, 25.931]","(12.936, 15.385]","(15159.435, 15851.919]","(15.67, 16.83]",70.0,33.0
"(24.014, 25.674]","(16071.688, 17198.684]","(20.4, 22.113]","(14.842, 17.672]","(11038.402, 11772.474]","(10.72, 11.406]","(6.303, 8.736]","(21919.814, 22499.006]","(6.5, 8.05]",6209.0,1023.0
"(11.512, 13.292]","(25308.238, 26307.966]","(5.068, 7.036]","(0.139, 1.728]","(10112.759, 11038.402]","(4.822, 7.035]","(16.724, 18.602]","(15159.435, 15851.919]","(6.5, 8.05]",3795.0,679.0
"(25.674, 28.596]","(15386.752, 16071.688]","(20.4, 22.113]","(0.139, 1.728]","(13002.937, 14434.652]","(12.588, 15.135]","(0.219, 1.898]","(25022.682, 26000.772]","(4.921, 6.5]",911.0,314.0
"(11.512, 13.292]","(14386.418, 15386.752]","(5.068, 7.036]","(38.038, 39.82]","(20981.91, 21509.223]","(7.035, 9.34]","(18.602, 19.94]","(10495.754, 11185.643]","(10.77, 11.832]",17005.0,4104.0
"(20.44, 22.66]","(22544.526, 23183.966]","(17.426, 18.838]","(33.545, 36.393]","(16253.196, 17749.48]","(16.921, 19.152]","(33.278, 34.864]","(15159.435, 15851.919]","(13.806, 15.67]",14635.0,2909.0
"(4.058, 6.876]","(22544.526, 23183.966]","(0.259, 1.64]","(36.393, 38.038]","(28704.074, 29905.06]","(7.035, 9.34]","(12.936, 15.385]","(21919.814, 22499.006]","(27.209, 29.083]",25951.0,6054.0
"(38.353, 39.92]","(21495.298, 22544.526]","(17.426, 18.838]","(6.211, 7.396]","(26872.869, 28027.804]","(16.921, 19.152]","(10.853, 12.936]","(12651.296, 13873.478]","(16.83, 18.14]",1554.0,557.0
"(9.756, 11.512]","(23975.204, 25308.238]","(5.068, 7.036]","(29.325, 30.945]","(14434.652, 15210.697]","(21.309, 22.843]","(19.94, 21.996]","(25022.682, 26000.772]","(1.68, 2.898]",14356.0,2528.0
"(4.058, 6.876]","(15386.752, 16071.688]","(23.54, 24.714]","(26.706, 29.325]","(20981.91, 21509.223]","(16.921, 19.152]","(0.219, 1.898]","(15159.435, 15851.919]","(2.898, 4.921]",13152.0,2776.0
"(16.26, 18.142]","(21495.298, 22544.526]","(17.426, 18.838]","(33.545, 36.393]","(28704.074, 29905.06]","(19.152, 21.309]","(33.278, 34.864]","(15159.435, 15851.919]","(13.806, 15.67]",23250.0,5768.0
"(13.292, 15.263]","(11034.201, 11974.945]","(12.32, 13.619]","(32.55, 33.545]","(11772.474, 13002.937]","(3.568, 4.822]","(12.936, 15.385]","(26000.772, 26517.227]","(11.832, 13.806]",8368.0,1367.0
"(38.353, 39.92]","(28943.995, 29975.86]","(18.838, 20.4]","(7.396, 9.37]","(20981.91, 21509.223]","(27.817, 28.873]","(8.736, 10.853]","(26000.772, 26517.227]","(19.794, 20.842]",94.0,77.0
"(24.014, 25.674]","(17198.684, 18069.604]","(0.259, 1.64]","(23.494, 24.99]","(15210.697, 16253.196]","(0.028999999999999998, 0.847]","(19.94, 21.996]","(23524.053, 25022.682]","(27.209, 29.083]",15465.0,2775.0
"(0.169, 2.327]","(23183.966, 23975.204]","(8.168, 9.531]","(36.393, 38.038]","(11772.474, 13002.937]","(10.72, 11.406]","(33.278, 34.864]","(28475.28, 29884.81]","(19.794, 20.842]",5382.0,821.0
"(38.353, 39.92]","(11974.945, 13119.594]","(24.714, 25.448]","(1.728, 3.724]","(20981.91, 21509.223]","(22.843, 24.328]","(36.24, 38.258]","(10034.119, 10495.754]","(18.14, 19.794]",230.0,86.0
"(24.014, 25.674]","(27498.474, 28245.716]","(12.32, 13.619]","(9.37, 11.317]","(15210.697, 16253.196]","(11.406, 12.588]","(10.853, 12.936]","(15851.919, 16991.383]","(18.14, 19.794]",14126.0,2746.0
"(34.389, 36.458]","(18069.604, 19205.184]","(5.068, 7.036]","(14.842, 17.672]","(23691.488, 24705.013]","(19.152, 21.309]","(36.24, 38.258]","(26517.227, 27436.739]","(9.597, 10.77]",25551.0,5520.0
"(0.169, 2.327]","(13119.594, 14386.418]","(2.819, 5.068]","(24.99, 26.706]","(11038.402, 11772.474]","(25.25, 25.931]","(24.384, 26.258]","(10034.119, 10495.754]","(1.68, 2.898]",1904.0,373.0
"(24.014, 25.674]","(19205.184, 20333.54]","(13.619, 15.535]","(26.706, 29.325]","(28704.074, 29905.06]","(21.309, 22.843]","(32.323, 33.278]","(19186.778, 19989.86]","(15.67, 16.83]",25155.0,5949.0
"(18.142, 20.44]","(28245.716, 28943.995]","(10.922, 12.32]","(17.672, 19.56]","(26872.869, 28027.804]","(24.328, 25.25]","(6.303, 8.736]","(19186.778, 19989.86]","(11.832, 13.806]",24961.0,5833.0
"(2.327, 4.058]","(20333.54, 21495.298]","(2.819, 5.068]","(9.37, 11.317]","(26872.869, 28027.804]","(4.822, 7.035]","(10.853, 12.936]","(19989.86, 21047.544]","(15.67, 16.83]",20010.0,3753.0
"(22.66, 24.014]","(16071.688, 17198.684]","(1.64, 2.819]","(29.325, 30.945]","(11772.474, 13002.937]","(9.34, 10.72]","(18.602, 19.94]","(21919.814, 22499.006]","(10.77, 11.832]",9031.0,1527.0
"(25.674, 28.596]","(19205.184, 20333.54]","(28.794, 29.98]","(3.724, 6.211]","(17749.48, 19080.122]","(0.028999999999999998, 0.847]","(1.898, 4.359]","(11185.643, 12651.296]","(0.039, 1.68]",15581.0,3451.0
"(22.66, 24.014]","(26307.966, 27498.474]","(13.619, 15.535]","(19.56, 21.69]","(19972.327, 20981.91]","(21.309, 22.843]","(18.602, 19.94]","(21919.814, 22499.006]","(19.794, 20.842]",22666.0,4739.0
"(16.26, 18.142]","(23183.966, 23975.204]","(28.794, 29.98]","(30.945, 32.55]","(28027.804, 28704.074]","(11.406, 12.588]","(24.384, 26.258]","(23524.053, 25022.682]","(18.14, 19.794]",26355.0,6021.0
"(4.058, 6.876]","(10042.609, 11034.201]","(24.714, 25.448]","(26.706, 29.325]","(22466.49, 23691.488]","(10.72, 11.406]","(6.303, 8.736]","(28475.28, 29884.81]","(22.373, 24.282]",13453.0,3044.0
"(30.487, 32.782]","(17198.684, 18069.604]","(1.64, 2.819]","(7.396, 9.37]","(23691.488, 24705.013]","(24.328, 25.25]","(15.385, 16.724]","(26000.772, 26517.227]","(4.921, 6.5]",1180.0,283.0
"(24.014, 25.674]","(23975.204, 25308.238]","(18.838, 20.4]","(14.842, 17.672]","(24705.013, 25267.247]","(12.588, 15.135]","(34.864, 36.24]","(21047.544, 21919.814]","(25.735, 27.209]",24874.0,5581.0
"(15.263, 16.26]","(11034.201, 11974.945]","(8.168, 9.531]","(19.56, 21.69]","(28027.804, 28704.074]","(19.152, 21.309]","(16.724, 18.602]","(27436.739, 28475.28]","(10.77, 11.832]",26644.0,5896.0
"(16.26, 18.142]","(11034.201, 11974.945]","(8.168, 9.531]","(32.55, 33.545]","(19972.327, 20981.91]","(7.035, 9.34]","(0.219, 1.898]","(23524.053, 25022.682]","(29.083, 29.97]",13481.0,3505.0
"(20.44, 22.66]","(21495.298, 22544.526]","(1.64, 2.819]","(38.038, 39.82]","(28704.074, 29905.06]","(25.25, 25.931]","(33.278, 34.864]","(19989.86, 21047.544]","(0.039, 1.68]",25354.0,5965.0
"(20.44, 22.66]","(11974.945, 13119.594]","(12.32, 13.619]","(11.317, 14.842]","(28704.074, 29905.06]","(22.843, 24.328]","(33.278, 34.864]","(10495.754, 11185.643]","(9.597, 10.77]",17132.0,4024.0
"(38.353, 39.92]","(28245.716, 28943.995]","(9.531, 10.922]","(24.99, 26.706]","(16253.196, 17749.48]","(7.035, 9.34]","(8.736, 10.853]","(28475.28, 29884.81]","(22.373, 24.282]",13288.0,2885.0
"(4.058, 6.876]","(19205.184, 20333.54]","(0.259, 1.64]","(11.317, 14.842]","(10112.759, 11038.402]","(25.931, 27.817]","(10.853, 12.936]","(26000.772, 26517.227]","(29.083, 29.97]",0.0,14.0
"(13.292, 15.263]","(17198.684, 18069.604]","(22.113, 23.54]","(26.706, 29.325]","(13002.937, 14434.652]","(27.817, 28.873]","(10.853, 12.936]","(27436.739, 28475.28]","(4.921, 6.5]",12920.0,2207.0
"(36.458, 38.353]","(14386.418, 15386.752]","(13.619, 15.535]","(32.55, 33.545]","(15210.697, 16253.196]","(9.34, 10.72]","(0.219, 1.898]","(10034.119, 10495.754]","(24.282, 25.735]",6956.0,1770.0
"(0.169, 2.327]","(26307.966, 27498.474]","(20.4, 22.113]","(14.842, 17.672]","(23691.488, 24705.013]","(0.847, 2.081]","(26.258, 29.128]","(26517.227, 27436.739]","(13.806, 15.67]",21616.0,4027.0
"(4.058, 6.876]","(27498.474, 28245.716]","(13.619, 15.535]","(0.139, 1.728]","(13002.937, 14434.652]","(12.588, 15.135]","(8.736, 10.853]","(12651.296, 13873.478]","(13.806, 15.67]",84.0,20.0
"(15.263, 16.26]","(13119.594, 14386.418]","(22.113, 23.54]","(1.728, 3.724]","(11038.402, 11772.474]","(27.817, 28.873]","(19.94, 21.996]","(13873.478, 15159.435]","(10.77, 11.832]",34.0,15.0
"(11.512, 13.292]","(18069.604, 19205.184]","(22.113, 23.54]","(24.99, 26.706]","(19080.122, 19972.327]","(27.817, 28.873]","(34.864, 36.24]","(19989.86, 21047.544]","(8.05, 9.597]",20764.0,4201.0
"(20.44, 22.66]","(22544.526, 23183.966]","(22.113, 23.54]","(30.945, 32.55]","(15210.697, 16253.196]","(0.028999999999999998, 0.847]","(32.323, 33.278]","(15159.435, 15851.919]","(16.83, 18.14]",13403.0,2599.0
"(34.389, 36.458]","(18069.604, 19205.184]","(17.426, 18.838]","(1.728, 3.724]","(15210.697, 16253.196]","(9.34, 10.72]","(12.936, 15.385]","(22499.006, 23524.053]","(8.05, 9.597]",6208.0,1437.0
"(30.487, 32.782]","(11034.201, 11974.945]","(2.819, 5.068]","(21.69, 23.494]","(24705.013, 25267.247]","(0.028999999999999998, 0.847]","(21.996, 24.384]","(19186.778, 19989.86]","(24.282, 25.735]",24006.0,5327.0
