binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(18.72, 21.37]","(23331.443, 24660.327]","(6.204, 8.185]","(29.239, 31.884]","(20668.653, 21988.14]","(27.993, 29.99]","(34.566, 37.208]","(27238.051, 28561.431]","(2.035, 4.031]",23694.0,4844.0
"(2.82, 5.47]","(16687.027, 18015.91]","(6.204, 8.185]","(16.012, 18.657]","(24627.113, 25946.6]","(20.003, 22.001]","(37.208, 39.85]","(28561.431, 29884.81]","(25.979, 27.975]",21877.0,4001.0
"(21.37, 24.02]","(22002.56, 23331.443]","(10.167, 12.148]","(0.1, 2.785]","(21988.14, 23307.627]","(10.017, 12.014]","(26.64, 29.282]","(24591.293, 25914.672]","(23.984, 25.979]",6798.0,1656.0
"(16.07, 18.72]","(19344.793, 20673.677]","(6.204, 8.185]","(29.239, 31.884]","(24627.113, 25946.6]","(4.025, 6.022]","(18.714, 21.356]","(21944.534, 23267.913]","(6.026, 8.021]",25121.0,5627.0
"(34.62, 37.27]","(23331.443, 24660.327]","(8.185, 10.167]","(5.431, 8.076]","(21988.14, 23307.627]","(4e-05, 2.027]","(8.146, 10.788]","(17974.396, 19297.775]","(14.007, 16.003]",23086.0,5152.0
"(0.13, 2.82]","(11371.493, 12700.377]","(24.036, 26.017]","(23.948, 26.593]","(10092.968, 11432.247]","(14.011, 16.009]","(16.072, 18.714]","(15327.637, 16651.017]","(19.993, 21.989]",1843.0,310.0
"(8.12, 10.77]","(18015.91, 19344.793]","(24.036, 26.017]","(29.239, 31.884]","(23307.627, 24627.113]","(27.993, 29.99]","(21.356, 23.998]","(24591.293, 25914.672]","(6.026, 8.021]",20303.0,3693.0
"(37.27, 39.92]","(10022.677, 11371.493]","(2.241, 4.223]","(18.657, 21.303]","(12751.733, 14071.22]","(22.001, 23.998]","(5.504, 8.146]","(12680.879, 14004.258]","(4.031, 6.026]",7494.0,1410.0
"(34.62, 37.27]","(28646.977, 29975.86]","(0.23, 2.241]","(21.303, 23.948]","(10092.968, 11432.247]","(27.993, 29.99]","(2.862, 5.504]","(25914.672, 27238.051]","(16.003, 17.998]",3214.0,643.0
"(10.77, 13.42]","(15358.143, 16687.027]","(18.092, 20.073]","(10.721, 13.367]","(27266.087, 28585.573]","(27.993, 29.99]","(16.072, 18.714]","(28561.431, 29884.81]","(17.998, 19.993]",0.0,3.0
"(16.07, 18.72]","(16687.027, 18015.91]","(18.092, 20.073]","(0.1, 2.785]","(28585.573, 29905.06]","(23.998, 25.995]","(13.43, 16.072]","(15327.637, 16651.017]","(16.003, 17.998]",70.0,33.0
"(24.02, 26.67]","(15358.143, 16687.027]","(20.073, 22.055]","(13.367, 16.012]","(11432.247, 12751.733]","(10.017, 12.014]","(5.504, 8.146]","(21944.534, 23267.913]","(6.026, 8.021]",6209.0,1023.0
"(10.77, 13.42]","(24660.327, 25989.21]","(4.223, 6.204]","(0.1, 2.785]","(10092.968, 11432.247]","(4.025, 6.022]","(16.072, 18.714]","(15327.637, 16651.017]","(6.026, 8.021]",3795.0,679.0
"(26.67, 29.32]","(15358.143, 16687.027]","(20.073, 22.055]","(0.1, 2.785]","(12751.733, 14071.22]","(12.014, 14.011]","(0.18, 2.862]","(24591.293, 25914.672]","(4.031, 6.026]",911.0,314.0
"(10.77, 13.42]","(14029.26, 15358.143]","(4.223, 6.204]","(37.175, 39.82]","(20668.653, 21988.14]","(6.022, 8.019]","(18.714, 21.356]","(10014.269, 11357.499]","(10.017, 12.012]",17005.0,4104.0
"(18.72, 21.37]","(22002.56, 23331.443]","(18.092, 20.073]","(34.529, 37.175]","(15390.707, 16710.193]","(18.006, 20.003]","(31.924, 34.566]","(14004.258, 15327.637]","(14.007, 16.003]",14635.0,2909.0
"(5.47, 8.12]","(22002.56, 23331.443]","(0.23, 2.241]","(37.175, 39.82]","(28585.573, 29905.06]","(8.019, 10.017]","(13.43, 16.072]","(21944.534, 23267.913]","(27.975, 29.97]",25951.0,6054.0
