binned_mass,family,tannin_max,fiber_max
"(-0.0125, 6.258]",Acanthaceae,0.327,11.91
"(-0.0125, 6.258]",Anacardiaceae,0.351,75.93
"(-0.0125, 6.258]",Annonaceae,0.106,43.66
"(-0.0125, 6.258]",Annonaceae,0.904,48.43
"(-0.0125, 6.258]",Annonaceae ,0.148,54.12
"(-0.0125, 6.258]",Apiaceae,0.378,36.26
"(-0.0125, 6.258]",Apocynaceae,0.104,25.42
"(-0.0125, 6.258]",Apocynaceae,0.695,28.69
"(-0.0125, 6.258]",Apocynaceae,0.901,36.78
"(-0.0125, 6.258]",Aquifoliaceae,0.289,56.48
"(-0.0125, 6.258]",Araceae,0.568,18.38
"(-0.0125, 6.258]",Arecaceae,0.013,48.14
"(-0.0125, 6.258]",Betulaceae,0.289,64.93
"(-0.0125, 6.258]",Betulaceae ,0.568,39.68
"(-0.0125, 6.258]",Bignoniaceae,0.018,28.04
"(-0.0125, 6.258]",Bignoniaceae,2.513,22.72
"(-0.0125, 6.258]",Bignoniaceae,0.077,64.68
"(-0.0125, 6.258]",Boraginaceae,0.08,75.39
"(-0.0125, 6.258]",Burseraceae,0.164,73.29
"(-0.0125, 6.258]",Celastraceae,0.159,23.08
"(-0.0125, 6.258]",Celastraceae,3.194,7.81
"(-0.0125, 6.258]",Celastraceae,0.03,10.94
"(-0.0125, 6.258]",Chloranthaceae,0.042,16.13
"(-0.0125, 6.258]",Clusiaceae,1.341,22.29
"(-0.0125, 6.258]",Combretaceae,4.12,54.97
"(-0.0125, 6.258]",Combretaceae,11.096,42.26
"(-0.0125, 6.258]",Combretaceae,1.645,62.46
"(-0.0125, 6.258]",Combretaceae,6.07,38.68
"(-0.0125, 6.258]",Compositae,2.525,16.18
"(-0.0125, 6.258]",Cornaceae,0.163,52.6
"(-0.0125, 6.258]",Cornaceae,0.104,66.4
"(-0.0125, 6.258]",Cucurbitaceae,0.4,41.19
"(-0.0125, 6.258]",Cucurbitaceae,0.134,72.33
"(-0.0125, 6.258]",Cyperaceae,0.428,29.17
"(-0.0125, 6.258]",Cyperaceae,1.47,29.32
"(-0.0125, 6.258]",Daphniphyllaceae,0.816,31.25
"(-0.0125, 6.258]",Ebenaceae,2.972,37.93
"(-0.0125, 6.258]",Ebenaceae ,3.377,39.4
"(-0.0125, 6.258]",Elaeocarpaceae,0.278,81.08
"(6.258, 12.515]",Elaeocarpaceae,0.538,81.49
"(6.258, 12.515]",Elaeocarpaceae,0.129,77.85
"(-0.0125, 6.258]",Elaeocarpaceae,3.026,71.49
"(-0.0125, 6.258]",Ericaceae,2.447,26.16
"(-0.0125, 6.258]",Euphorbiaceae,0.613,50.49
"(-0.0125, 6.258]",Euphorbiaceae,0.478,56.54
"(-0.0125, 6.258]",Euphorbiaceae,0.059,23.84
"(-0.0125, 6.258]",Euphorbiaceae,0.092,25.15
"(-0.0125, 6.258]",Euphorbiaceae,0.04,20.81
"(-0.0125, 6.258]",Euphorbiaceae,0.016,27.31
"(-0.0125, 6.258]",Euphorbiaceae,0.591,57.26
"(-0.0125, 6.258]",Fagaceae,2.356,43.38
"(-0.0125, 6.258]",Fagaceae,2.021,37.42
"(6.258, 12.515]",Fagaceae,1.145,53.94
"(-0.0125, 6.258]",Fagaceae,0.653,63.06
"(-0.0125, 6.258]",Clusiaceae,0.804,8.21
"(-0.0125, 6.258]",Clusiaceae,5.702,8.88
"(-0.0125, 6.258]",Hernandiaceae,0.733,26.09
"(-0.0125, 6.258]",Icacinaceae,0.429,23.67
"(-0.0125, 6.258]",Juglandaceae,0.622,52.44
