n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,recall_micro_max,precision_micro_max
700.0,40.0,0.14,0.17,10.0,0.3529697911062217,0.7478172902163849
1300.0,8.0,0.34,0.15,10.0,0.3550084815003172,0.7488715284387888
700.0,40.0,0.1,0.11,6.0,0.3664417046144769,0.7537650894386686
900.0,32.0,0.3,0.19,6.0,0.3529697911062217,0.7478172902163849
1300.0,24.0,0.3,0.17,2.0,0.3529697911062217,0.7478172902163849
700.0,16.0,0.18,0.05,6.0,0.3873606949596045,0.7605179912531294
700.0,8.0,0.3,0.03,4.0,0.3624268115107817,0.7527591341307642
100.0,32.0,0.14,0.17,4.0,0.3529697911062217,0.7478172902163849
1700.0,40.0,0.1,0.01,4.0,0.4141720449225009,0.7628146300775941
100.0,8.0,0.34,0.15,4.0,0.3529697911062217,0.7478172902163849
1100.0,32.0,0.26,0.09,2.0,0.3529697911062217,0.7478172902163849
1500.0,28.0,0.14,0.07,2.0,0.3646878029290196,0.7536417453888806
1500.0,24.0,0.02,0.19,10.0,0.3529697911062217,0.7478172902163849
100.0,24.0,0.1,0.15,8.0,0.35316331593582245,0.7479084111132799
1500.0,12.0,0.18,0.01,6.0,0.3954531096581645,0.7619496429707582
1300.0,20.0,0.3,0.15,8.0,0.35471946362330503,0.7487218884565694
900.0,12.0,0.06,0.03,4.0,0.4203123838903032,0.7625057674824794
1700.0,12.0,0.02,0.17,8.0,0.3529697911062217,0.7478172902163849
500.0,8.0,0.34,0.11,2.0,0.3529697911062217,0.7478172902163849
300.0,36.0,0.06,0.07,4.0,0.3803433497036156,0.7588465512242408
900.0,28.0,0.02,0.11,10.0,0.3757502602970774,0.7567703552673141
1900.0,36.0,0.18,0.07,8.0,0.3859946285966246,0.7582869312860698
500.0,12.0,0.02,0.11,2.0,0.3529697911062217,0.7478172902163849
1500.0,36.0,0.1,0.13,4.0,0.3530662231216508,0.7478709666243256
1300.0,28.0,0.34,0.05,2.0,0.3529697911062217,0.7478172902163849
1100.0,40.0,0.18,0.09,4.0,0.3659522656318351,0.7538201051501293
1700.0,16.0,0.3,0.15,2.0,0.3529697911062217,0.7478172902163849
700.0,16.0,0.26,0.17,2.0,0.3529697911062217,0.7478172902163849
500.0,8.0,0.02,0.05,10.0,0.4271677901481626,0.7611296810395147
100.0,24.0,0.3,0.05,6.0,0.3673223112543428,0.7546565521680075
1300.0,36.0,0.3,0.17,2.0,0.3529697911062217,0.7478172902163849
700.0,24.0,0.18,0.07,4.0,0.3700644141816,0.7557745315619573
1700.0,16.0,0.3,0.19,10.0,0.3529697911062217,0.7478172902163849
900.0,32.0,0.18,0.17,6.0,0.3529697911062217,0.7478172902163849
1500.0,28.0,0.26,0.03,6.0,0.3733208151845093,0.7569061741555451
700.0,32.0,0.02,0.05,8.0,0.4202272552468556,0.7625841507832621
300.0,20.0,0.1,0.09,4.0,0.3670214469491431,0.7542133793694104
1900.0,28.0,0.3,0.09,8.0,0.36704154019483937,0.7542373794249431
100.0,28.0,0.22,0.03,8.0,0.3883081849069116,0.7587463210870465
700.0,28.0,0.06,0.03,4.0,0.4205936968146705,0.7626178371490819
1500.0,12.0,0.06,0.05,10.0,0.42570237802807703,0.7618558108035047
1500.0,20.0,0.06,0.11,8.0,0.37084637094730855,0.7556828970221089
1900.0,20.0,0.38,0.05,2.0,0.3529697911062217,0.7478172902163849
900.0,36.0,0.26,0.13,10.0,0.3670539626247761,0.7540739865214446
500.0,24.0,0.18,0.15,2.0,0.3529697911062217,0.7478172902163849
700.0,12.0,0.22,0.05,2.0,0.3577447448058341,0.7503466681229753
900.0,36.0,0.22,0.13,6.0,0.35803845318369715,0.7498761506308856
1900.0,16.0,0.34,0.11,10.0,0.3654662375787823,0.7537134003493683
1700.0,20.0,0.38,0.07,2.0,0.3529697911062217,0.7478172902163849
1100.0,32.0,0.14,0.19,4.0,0.3529697911062217,0.7478172902163849
1100.0,8.0,0.26,0.15,10.0,0.35677111597179434,0.7493662874146492
300.0,36.0,0.02,0.17,2.0,0.3529697911062217,0.7478172902163849
700.0,28.0,0.26,0.01,6.0,0.3767264142576888,0.7581362647920381
1500.0,4.0,0.34,0.03,2.0,0.3529697911062217,0.7478172902163849
300.0,8.0,0.06,0.05,10.0,0.4271816158763846,0.7614217856947636
300.0,4.0,0.06,0.11,10.0,0.3773998660182208,0.7571037184733199
500.0,40.0,0.14,0.15,4.0,0.3529697911062217,0.7478172902163849
1700.0,40.0,0.26,0.13,2.0,0.3529697911062217,0.7478172902163849
1900.0,32.0,0.1,0.19,2.0,0.3529697911062217,0.7478172902163849
700.0,4.0,0.14,0.05,6.0,0.3890170439952271,0.7611763023370588
700.0,8.0,0.22,0.05,8.0,0.3862851102976954,0.7601746075271137
1900.0,8.0,0.1,0.13,4.0,0.35325956339492504,0.7479654955471216
1700.0,40.0,0.14,0.17,10.0,0.3529697911062217,0.7478172902163849
1100.0,28.0,0.1,0.19,2.0,0.3529697911062217,0.7478172902163849
300.0,28.0,0.02,0.13,6.0,0.3594072834512131,0.7505810340645963
1300.0,24.0,0.1,0.15,6.0,0.3529697911062217,0.7478172902163849
500.0,24.0,0.18,0.11,4.0,0.3594975790502599,0.7509217387815235
900.0,16.0,0.22,0.03,10.0,0.3977090764895744,0.7614151933338926
1500.0,16.0,0.26,0.19,4.0,0.3529697911062217,0.7478172902163849
1700.0,40.0,0.26,0.15,8.0,0.35471946362330503,0.7487218884565694
1900.0,16.0,0.06,0.09,4.0,0.3663284575889181,0.7540043788368538
1300.0,16.0,0.38,0.17,4.0,0.3529697911062217,0.7478172902163849
1500.0,40.0,0.3,0.03,8.0,0.3752461825061161,0.7579764076951394
700.0,16.0,0.26,0.13,6.0,0.3580327242227129,0.7498503462129731
700.0,36.0,0.26,0.15,2.0,0.3529697911062217,0.7478172902163849
900.0,12.0,0.18,0.19,4.0,0.3529697911062217,0.7478172902163849
900.0,40.0,0.1,0.01,8.0,0.4387331118755201,0.7609631897353739
1300.0,16.0,0.34,0.11,2.0,0.3529697911062217,0.7478172902163849
500.0,16.0,0.38,0.07,2.0,0.3529697911062217,0.7478172902163849
1900.0,8.0,0.26,0.03,10.0,0.3889101876416036,0.7605109802923857
900.0,8.0,0.3,0.13,8.0,0.3590097015452634,0.7503617725331427
1500.0,40.0,0.06,0.07,8.0,0.3955621442844235,0.7608761220524747
900.0,4.0,0.02,0.17,2.0,0.3529697911062217,0.7478172902163849
1500.0,4.0,0.26,0.07,8.0,0.3736698514723958,0.7566011514180693
1100.0,12.0,0.18,0.01,8.0,0.4065188865455021,0.7624271688613284
1100.0,20.0,0.06,0.11,10.0,0.3756538048646719,0.7567045025234214
1900.0,32.0,0.1,0.17,2.0,0.3529697911062217,0.7478172902163849
500.0,40.0,0.06,0.07,6.0,0.3890413817292427,0.7597474903277065
1100.0,4.0,0.1,0.17,4.0,0.3529697911062217,0.7478172902163849
1100.0,12.0,0.02,0.15,8.0,0.35471946362330503,0.7485699882310332
300.0,4.0,0.18,0.07,10.0,0.39241724594795657,0.7599586311114972
700.0,36.0,0.3,0.07,10.0,0.37396521035522856,0.7564508924685523
1300.0,36.0,0.34,0.19,4.0,0.3529697911062217,0.7478172902163849
1700.0,4.0,0.14,0.17,4.0,0.3529697911062217,0.7478172902163849
1100.0,8.0,0.1,0.09,10.0,0.3847203933774521,0.7577053300989667
1300.0,32.0,0.3,0.15,6.0,0.3529697911062217,0.7478172902163849
1100.0,20.0,0.06,0.01,4.0,0.4369557848527844,0.7621334198377562
1900.0,40.0,0.1,0.01,10.0,0.4444059004282109,0.7599724926197932
