n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,recall_micro_max,precision_micro_max,time
1500.0,20.0,0.06,0.05,10.0,0.42570237802807703,0.7618558108035047,0.7126239349827727
300.0,24.0,0.38,0.05,6.0,0.3642968382439449,0.7537353650538824,0.0628397180640405
1500.0,4.0,0.26,0.07,10.0,0.3788545274443101,0.7579630906338551,0.5365033192999845
1100.0,28.0,0.34,0.17,4.0,0.3529697911062217,0.7478172902163849,0.19184098242293907
700.0,36.0,0.14,0.09,10.0,0.3845152564163161,0.7570205774069575,0.24088683547566087
700.0,8.0,0.06,0.07,6.0,0.3884740867551823,0.7599421426781181,0.19769053628190097
300.0,20.0,0.38,0.19,8.0,0.3529697911062217,0.7478172902163849,0.04980808764133636
1900.0,28.0,0.1,0.17,4.0,0.3529697911062217,0.7478172902163849,0.34273192003343617
1700.0,16.0,0.1,0.05,10.0,0.42591147490363657,0.7616866255894874,0.7901601394806185
300.0,20.0,0.1,0.03,2.0,0.3855870087023122,0.7615739800512935,0.05102930886166397
100.0,16.0,0.18,0.17,4.0,0.3529697911062217,0.7478172902163849,0.002227862268838216
700.0,28.0,0.26,0.01,8.0,0.3845314072908653,0.7605168714256842,0.25375174067182604
1300.0,8.0,0.06,0.19,4.0,0.3529697911062217,0.7478172902163849,0.22097288982598562
1300.0,28.0,0.34,0.01,2.0,0.3530640418131021,0.7478650025789989,0.23349813012141557
700.0,40.0,0.14,0.09,4.0,0.365748213860695,0.7537165187205537,0.14680339709790646
1300.0,12.0,0.02,0.05,6.0,0.4080642870079368,0.7610609161643118,0.4292191175411633
100.0,12.0,0.1,0.05,10.0,0.429228054888774,0.7613409650372546,0.03085728445713397
1900.0,8.0,0.26,0.07,4.0,0.3620341066288615,0.7522523959546803,0.42597590149933384
300.0,12.0,0.02,0.09,10.0,0.38559825613152376,0.7569401174919033,0.09298005573580347
900.0,8.0,0.06,0.09,10.0,0.3843258469531148,0.7570722932808038,0.3119798195345059
700.0,36.0,0.22,0.13,2.0,0.3529697911062217,0.7478172902163849,0.1067272581902208
1100.0,4.0,0.3,0.05,10.0,0.3772032849242684,0.7577103185547764,0.39758050115216265
1300.0,16.0,0.22,0.05,6.0,0.37711815445114905,0.7577103509403467,0.3786064648861993
1500.0,24.0,0.22,0.07,6.0,0.37358742248764265,0.7565949632080385,0.4132559626735761
700.0,40.0,0.1,0.09,10.0,0.3845152564163161,0.7570205774069575,0.23899883832678265
1700.0,32.0,0.38,0.13,6.0,0.3530657603960489,0.7478654285822366,0.35877700409767754
300.0,8.0,0.26,0.11,4.0,0.3569503796636849,0.7498917806360622,0.04766973484349553
500.0,28.0,0.22,0.13,6.0,0.35970000960533155,0.7507438640329334,0.10315598103571956
500.0,16.0,0.38,0.03,8.0,0.3669383821885595,0.7550483180647147,0.14347862679223855
1300.0,12.0,0.22,0.03,6.0,0.3812061811914284,0.7594980094592599,0.40338102553141336
700.0,8.0,0.38,0.13,2.0,0.3529697911062217,0.7478172902163849,0.10172971875058837
1300.0,8.0,0.26,0.19,10.0,0.3529697911062217,0.7478172902163849,0.2967216633381706
100.0,28.0,0.26,0.07,2.0,0.35414739607624834,0.7484559433762807,0.0021855752034024845
700.0,20.0,0.14,0.07,8.0,0.3961568433854033,0.7601833959966735,0.23542142069096195
700.0,20.0,0.06,0.09,4.0,0.365748213860695,0.7537165187205537,0.14665880310975138
300.0,20.0,0.3,0.15,4.0,0.3529697911062217,0.7478172902163849,0.042168918239185144
100.0,16.0,0.02,0.03,8.0,0.44901346197052056,0.7594207003305683,0.03215020328914658
300.0,24.0,0.26,0.11,2.0,0.3529697911062217,0.7478172902163849,0.037321696251915865
100.0,36.0,0.34,0.15,6.0,0.3529697911062217,0.7478172902163849,0.005007598861573891
1100.0,8.0,0.22,0.09,2.0,0.35404069238257785,0.7483786772581941,0.1886174911629514
500.0,16.0,0.02,0.13,10.0,0.3683949916512528,0.7544425481309945,0.13332019835705838
900.0,24.0,0.06,0.13,8.0,0.3616584863232701,0.751627397361015,0.22565166113059432
300.0,8.0,0.38,0.03,2.0,0.35306594495237553,0.7478620205563355,0.03890876518127997
900.0,36.0,0.26,0.01,2.0,0.35658079708776746,0.7497456266128459,0.16783808707440984
100.0,28.0,0.18,0.07,8.0,0.3847332177191895,0.7584222965376177,0.01833003559304809
500.0,8.0,0.38,0.07,6.0,0.3633197717937859,0.7532323301103452,0.10957323163846076
100.0,24.0,0.1,0.07,10.0,0.4064001966228839,0.7601778632975458,0.024781371924700445
300.0,12.0,0.14,0.17,4.0,0.3529697911062217,0.7478172902163849,0.03997158876448013
1300.0,16.0,0.26,0.13,8.0,0.3617594434759643,0.7516794556208654,0.33302772908096934
700.0,4.0,0.18,0.09,2.0,0.35608364471547377,0.7494552824092464,0.11582594157219157
1500.0,36.0,0.26,0.17,2.0,0.3529697911062217,0.7478172902163849,0.2334716144645942
900.0,8.0,0.14,0.17,10.0,0.3529697911062217,0.7478172902163849,0.21418932731167417
900.0,40.0,0.14,0.17,4.0,0.3529697911062217,0.7478172902163849,0.1534748598014295
1300.0,16.0,0.3,0.07,4.0,0.3593943895927361,0.7511820264279531,0.2776849444267629
700.0,24.0,0.18,0.19,6.0,0.3529697911062217,0.7478172902163849,0.1250069405611674
700.0,12.0,0.06,0.09,10.0,0.3845152564163161,0.7570205774069575,0.23893131726262024
100.0,12.0,0.34,0.09,6.0,0.3591206713475674,0.7508970224914058,0.008294148975103607
300.0,20.0,0.1,0.03,2.0,0.3855870087023122,0.7615739800512935,0.05081196898027779
1900.0,8.0,0.02,0.13,10.0,0.36772814919178665,0.7544342956668192,0.5527066645462131
1100.0,8.0,0.1,0.03,10.0,0.43509661144158973,0.7610519304490023,0.5660916104848226
1100.0,24.0,0.34,0.17,6.0,0.3529697911062217,0.7478172902163849,0.21562235751671455
700.0,8.0,0.26,0.01,10.0,0.39136510664630064,0.7613649752945014,0.29447372048390014
1700.0,28.0,0.3,0.17,2.0,0.3529697911062217,0.7478172902163849,0.2665065635528306
1300.0,16.0,0.14,0.19,2.0,0.3529697911062217,0.7478172902163849,0.19575671188562588
100.0,8.0,0.34,0.17,8.0,0.3529697911062217,0.7478172902163849,0.006602809189223274
900.0,16.0,0.34,0.07,4.0,0.3570748813999621,0.7500170144175671,0.1823968775187011
300.0,32.0,0.38,0.11,10.0,0.3643900599205486,0.7537672542632773,0.07029156261457406
100.0,4.0,0.18,0.17,2.0,0.3529697911062217,0.7478172902163849,0.0
