binned_RP1,binned_IP1,binned_WP1,binned_VAP1,binned_TPMIN1,binned_TPMAX1,binned_RP2,binned_IP2,binned_WP2,binned_VAP2,binned_TPMIN2,binned_TPMAX2,binned_RP3,binned_IP3,binned_WP3,binned_VAP3,binned_TPMIN3,binned_TPMAX3,Yield_max,TWP,Cost
"(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",12297.0,6781.0,0.522220638888889
"(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",11749.0,8753.0,0.4893685068444444
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]",15151.0,13328.0,0.4761376350444443
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",37.0,15.0,0.2283991670888888
"(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",20098.0,11583.0,0.5023075959333334
"(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",15993.0,2889.0,0.4308799344000001
"(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",4414.0,759.0,0.3488689374000001
"(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]",1869.0,8802.0,0.3853504611111111
"(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]",138.0,24.0,0.3894991012888889
"(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",2751.0,496.0,0.3979035472222222
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",7005.0,2384.0,0.3084542536222222
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",0.0,1.0,0.3440340715777778
"(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",9154.0,10007.0,0.4389229534222221
"(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",0.0,1.0,0.3436570790666666
"(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",9644.0,12430.0,0.4355297446444444
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",1.0,1.0,0.3053825899555556
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",0.0,1.0,0.3305024401777778
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",19830.0,5242.0,0.3838548844
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",6205.0,9098.0,0.4857449670888889
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",25119.0,6457.0,0.4322106312
"(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",17439.0,2877.0,0.410711128
"(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",1747.0,4890.0,0.3750309459333333
"(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",457.0,108.0,0.4316943542666666
"(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]",3437.0,731.0,0.4129676920888889
"(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",20884.0,9418.0,0.4647600170888888
"(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",692.0,217.0,0.4035727017111112
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]",7042.0,7394.0,0.4067880023555557
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]",14480.0,2802.0,0.4790909074888889
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",14772.0,11238.0,0.4241334955111113
"(4.975, 17.5]","(12000.0, 23000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]",4789.0,1201.0,0.3688562448666667
"(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]","(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(10.0, 20.0]","(9.98, 20.0]",344.0,56.0,0.32817065
"(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(978.0, 12000.0]","(10.0, 20.0]","(1.35, 1.6]","(10.0, 20.0]","(9.98, 20.0]","(4.975, 17.5]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.1, 1.35]","(-0.02, 10.0]","(20.0, 30.0]",2037.0,333.0,0.3963016305555555
"(17.5, 30.0]","(12000.0, 23000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(10.0, 20.0]","(1.1, 1.35]","(10.0, 20.0]","(20.0, 30.0]","(17.5, 30.0]","(978.0, 12000.0]","(-0.02, 10.0]","(1.35, 1.6]","(-0.02, 10.0]","(9.98, 20.0]",588.0,120.0,0.4230025869777778
