binned_latitude,binned_longitude,binned_house_age,binned_number_of_convenience_stores,distance_to_nearest_MRT,house_price_of_unit_area
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(8.0, 10.0]",84.87882,37.9
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(8.0, 10.0]",306.5947,42.2
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",561.9845,47.3
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",561.9845,54.8
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",390.5684,43.1
"(24.949, 24.965]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",2175.03,32.1
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",623.4731,40.3
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(4.0, 6.0]",287.6025,46.7
"(24.949, 24.965]","(121.473, 121.492]","(26.28, 35.04]","(-0.01, 2.0]",5512.038,18.8
"(24.965, 24.982]","(121.511, 121.529]","(17.52, 26.28]","(2.0, 4.0]",1783.18,22.1
"(24.965, 24.982]","(121.529, 121.548]","(26.28, 35.04]","(-0.01, 2.0]",405.2134,41.4
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(8.0, 10.0]",90.45606,58.1
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",492.2313,39.3
"(24.949, 24.965]","(121.492, 121.511]","(17.52, 26.28]","(2.0, 4.0]",2469.645,23.8
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(2.0, 4.0]",1164.838,34.3
"(24.982, 24.998]","(121.529, 121.548]","(35.04, 43.8]","(-0.01, 2.0]",579.2083,50.5
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",292.9978,70.1
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(-0.01, 2.0]",350.8515,37.4
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",368.1363,42.3
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(6.0, 8.0]",23.38284,47.7
"(24.949, 24.965]","(121.511, 121.529]","(-0.0438, 8.76]","(2.0, 4.0]",2275.877,29.3
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",279.1726,51.6
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1360.139,24.6
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",279.1726,47.9
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(2.0, 4.0]",480.6977,38.8
"(24.965, 24.982]","(121.511, 121.529]","(26.28, 35.04]","(-0.01, 2.0]",1487.868,27.0
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",383.8624,56.2
"(24.949, 24.965]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",276.449,33.6
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(2.0, 4.0]",557.478,47.0
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",451.2438,57.1
"(24.932, 24.949]","(121.492, 121.511]","(17.52, 26.28]","(-0.01, 2.0]",4519.69,22.1
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(6.0, 8.0]",769.4034,25.0
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(-0.01, 2.0]",488.5727,34.2
"(24.965, 24.982]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",323.655,49.3
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(6.0, 8.0]",205.367,55.1
"(24.998, 25.015]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",4079.418,27.3
"(24.949, 24.965]","(121.511, 121.529]","(8.76, 17.52]","(-0.01, 2.0]",1935.009,22.9
"(24.949, 24.965]","(121.548, 121.566]","(8.76, 17.52]","(-0.01, 2.0]",1360.139,25.3
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(4.0, 6.0]",577.9615,47.7
"(24.982, 24.998]","(121.529, 121.548]","(8.76, 17.52]","(4.0, 6.0]",289.3248,46.2
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4082.015,15.9
"(24.932, 24.949]","(121.492, 121.511]","(8.76, 17.52]","(-0.01, 2.0]",4066.587,18.2
"(24.949, 24.965]","(121.529, 121.548]","(35.04, 43.8]","(4.0, 6.0]",519.4617,34.7
"(24.982, 24.998]","(121.529, 121.548]","(26.28, 35.04]","(4.0, 6.0]",512.7871,34.1
"(24.965, 24.982]","(121.529, 121.548]","(-0.0438, 8.76]","(2.0, 4.0]",533.4762,53.9
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(6.0, 8.0]",488.8193,38.3
"(24.965, 24.982]","(121.529, 121.548]","(17.52, 26.28]","(8.0, 10.0]",463.9623,42.0
"(24.965, 24.982]","(121.529, 121.548]","(35.04, 43.8]","(2.0, 4.0]",640.7391,61.5
"(24.932, 24.949]","(121.492, 121.511]","(17.52, 26.28]","(-0.01, 2.0]",4605.749,13.4
